Airport,State,Flight_Phase,Height,Speed,Distance
EGLIN AIR FORCE BASE/DESTIN-FORT WALTON BEACH AIRPORT,FL,LANDING,1500,,5.0
MARCH ARB ARPT,CA,LANDING,0,,0.0
CHERRY CAPITAL ARPT,MI,,,,0.0
ELLINGTON FIELD ARPT,TX,PARKED,0,0,0.0
EGLIN AIR FORCE BASE/DESTIN-FORT WALTON BEACH AIRPORT,FL,LANDING,0,,0.0
BUCKLEY ANGB ARPT,CO,LANDING,,,0.0
MARCH ARB ARPT,CA,LANDING,,,5.0
FRESNO YOSEMITE INTL,CA,LANDING,150,,1.0
ALBANY INTL,NY,DEPARTURE,,,0.0
ATLANTIC CITY INTL,NJ,PARKED,0,,0.0
NORTHWEST FLORIDA BEACHES INTL,FL,ARRIVAL,,,0.0
DANE COUNTY REGIONAL ARPT-TRUAX FLD,WI,DEPARTURE,,,0.0
HECTOR INTERNATIONAL,ND,ARRIVAL,,,0.0
ARNOLD PALMER REGIONAL,PA,LOCAL,,,0.0
MYRTLE BEACH INTL,SC,LOCAL,,,0.0
LONG BEACH-DAUGH FLD,CA,DEPARTURE,,,0.0
,,,,,0.0
LUBBOCK PRESTON SMITH INTL ARPT,TX,ARRIVAL,,,0.0
GUAM INTL ARPT,PI,LOCAL,,,0.0
GUAM INTL ARPT,PI,LOCAL,,,0.0
BAIYUN AIRPORT,,DEPARTURE,10000,250,30.0
AUGUSTA STATE,ME,LOCAL,12,100,0.0
LANAI ARPT,HI,,,,0.0
BUCKLEY ANGB ARPT,CO,LANDING,,,0.0
MARCH ARB ARPT,CA,LANDING,50,,0.0
MARCH ARB ARPT,CA,LANDING,50,,0.0
MARCH ARB ARPT,CA,LANDING,0,,0.0
MARCH ARB ARPT,CA,LANDING,200,,0.0
MARCH ARB ARPT,CA,LANDING,0,,0.0
EGLIN AIR FORCE BASE/DESTIN-FORT WALTON BEACH AIRPORT,FL,LANDING,0,,0.0
GRAND FORKS INTL,ND,PARKED,0,0,0.0
FREEHOLD ARPT,NY,ARRIVAL,,,0.0
DANE COUNTY REGIONAL ARPT-TRUAX FLD,WI,DEPARTURE,,,0.0
FORT LAUDERDALE EXECUTIVE ARPT,FL,PARKED,0,0,0.0
DAYTONA BEACH INTL,FL,,,,0.0
LIVERMORE MUNICIPAL ARPT,CA,,3100,,7.0
CENTENNIAL ARPT,CO,LOCAL,,,0.0
GRAND FORKS INTL,ND,LOCAL,,,0.0
VAN NUYS ARPT,CA,PARKED,0,0,0.0
CENTENNIAL ARPT,CO,ARRIVAL,,,0.0
ADDISON,TX,LOCAL,,,0.0
ARLINGTON MUNICIPAL ARPT (TX),TX,LOCAL,850,68,0.0
ORMOND BEACH MUNICIPAL ARPT,FL,LOCAL,,,0.0
PHOENIX-MESA GATEWAY,AZ,PARKED,0,,0.0
BURKE LAKEFRONT,OH,LOCAL,30,,0.0
ST LOUIS DOWNTOWN,IL,,,,0.0
CHARLESTON AFB/INTL ARPT,SC,PARKED,,,0.0
DAYTONA BEACH INTL,FL,,,,0.0
SHERMAN ARMY AIRFIELD,KS,LOCAL,,,0.0
PALM SPRINGS INTL,CA,DEPARTURE,,,0.0
MEADOWS FIELD ARPT,CA,LOCAL,,,0.0
JUNEAU INTL ARPT,AK,PARKED,0,0,0.0
NANTUCKET MEMORIAL,MA,,0,,0.0
ADDISON,TX,LOCAL,,,0.0
PHILIP BILLARD MUNICIPAL ARPT,KS,,,,0.0
BURKE LAKEFRONT,OH,,10,,0.0
HATTIESBURG-LAUREL,MS,,,,0.0
LAKEFRONT AIRPORT,LA,,,,0.0
THE EASTERN IOWA ARPT,IA,,7000,250,20.0
ADDISON,TX,LOCAL,,,0.0
MANITOWISH WATERS,WI,,,,0.0
JOE FOSS FIELD ARPT,SD,DEPARTURE,,,0.0
TUCSON INTL,AZ,PARKED,0,0,0.0
CLARK INTL,,LOCAL,50,,0.0
CLARK INTL,,LOCAL,50,145,0.0
JAMES M COX DAYTON INTL,OH,DEPARTURE,,,10.0
,,,,,0.0
PHOENIX-MESA GATEWAY,AZ,PARKED,0,,0.0
RICHMOND INTL,VA,DEPARTURE,,,0.0
AKRON-CANTON REGIONAL,OH,DEPARTURE,,,0.0
WESTOVER AIR RESERVE BASE/METROPOLITAN ARPT,MA,PARKED,0,,0.0
ELLINGTON FIELD ARPT,TX,PARKED,0,0,0.0
ELIZABETH CITY CGAS/REGIONAL ARPT,NC,LOCAL,500,,1.0
KAHULUI ARPT,HI,DEPARTURE,,,5.0
NEW CASTLE COUNTY,DE,PARKED,0,240,0.0
TWEED-NEW HAVEN ARPT,CT,LOCAL,,,0.0
CHARLES B WHEELER DOWNTOWN ARPT,MO,,5,,0.0
NORFOLK INTL,VA,,300,,1.0
HECTOR INTERNATIONAL,ND,LOCAL,0,,0.0
,,,,,0.0
PORTLAND INTL JETPORT (ME),ME,ARRIVAL,,,0.0
HECTOR INTERNATIONAL,ND,DEPARTURE,,,0.0
WICHITA DWIGHT D EISENHOWER NATL ARPT,KS,LOCAL,,,0.0
FRESNO YOSEMITE INTL,CA,DEPARTURE,,,0.0
DES MOINES INTL,IA,DEPARTURE,,,0.0
,,,,,0.0
GERALD R. FORD INTL ARPT,MI,,,,0.0
MC CLELLAN AIRFIELD,CA,PARKED,0,0,0.0
DAYTONA BEACH INTL,FL,,,,0.0
JACKSONVILLE INTL,FL,,,,0.0
MBS INTL,MI,PARKED,0,0,0.0
LANAI ARPT,HI,,,,0.0
DANE COUNTY REGIONAL ARPT-TRUAX FLD,WI,DEPARTURE,,,0.0
JAMES M COX DAYTON INTL,OH,ARRIVAL,,,0.0
RALEIGH-DURHAM INTL,NC,,30,130,0.0
WILL ROGERS WORLD ARPT,OK,LOCAL,,,0.0
HARRISBURG INTL,PA,DEPARTURE,,,0.0
EVANSVILLE REGIONAL,IN,DEPARTURE,,,0.0
QUAD CITY ARPT,IL,ARRIVAL,,,0.0
HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AL,DEPARTURE,,,0.0
HECTOR INTERNATIONAL,ND,DEPARTURE,,,0.0
ALBANY INTL,NY,DEPARTURE,,,0.0
BRADLEY INTL,CT,DEPARTURE,,,0.0
GREATER ROCHESTER INTL,NY,ARRIVAL,,,0.0
BILLINGS LOGAN INTL,MT,DEPARTURE,,,0.0
EVANSVILLE REGIONAL,IN,LOCAL,,,0.0
WILL ROGERS WORLD ARPT,OK,,,,0.0
WILL ROGERS WORLD ARPT,OK,,,,0.0
HECTOR INTERNATIONAL,ND,LOCAL,,,0.0
FORT WORTH ALLIANCE,TX,,2300,190,12.0
RAFAEL HERNANDEZ ARPT,,,0,,0.0
BISHOP INTL ARPT,MI,,,,0.0
JAMES M COX DAYTON INTL,OH,,,,0.0
SANTA BARBARA MUNICIPAL,CA,PARKED,0,0,0.0
GENERAL DOWNING-PEORIA INTL ARPT,IL,PARKED,0,0,0.0
KAHULUI ARPT,HI,,,,0.0
TAMPA INTL,FL,DEPARTURE,,,0.0
MOBILE REGIONAL,AL,DEPARTURE,,,0.0
SPRINGFIELD-BRANSON NATIONAL,MO,LOCAL,,,0.0
ROCHESTER INTL,MN,,4000,220,15.0
LAFAYETTE REGIONAL,LA,PARKED,0,0,0.0
HARRISBURG INTL,PA,,50,145,0.0
ATLANTIC CITY INTL,NJ,ARRIVAL,,,0.0
ALBUQUERQUE INTL SUNPORT,NM,DEPARTURE,,,0.0
LONG ISLAND MAC ARTHUR,NY,,,,0.0
SARASOTA-BRADENTON INTL ARPT,FL,,,,0.0
THEODORE FRANCIS GREEN STATE,RI,ARRIVAL,,,0.0
RAS TANAJIB,,,15,134,0.0
DALLAS LOVE FIELD ARPT,TX,,5000,250,30.0
BOB HOPE ARPT,CA,PARKED,0,0,0.0
EL PASO INTL ARPT,TX,ARRIVAL,,,0.0
DALLAS LOVE FIELD ARPT,TX,DEPARTURE,9500,280,40.0
AKRON-CANTON REGIONAL,OH,DEPARTURE,6800,240,10.0
ONTARIO INTL ARPT,CA,DEPARTURE,3000,250,20.0
GREATER ROCHESTER INTL,NY,PARKED,0,,0.0
L F WADE INTL ARPT,,,10,140,0.0
BOEING FIELD/KING COUNTY INTL ARPT,WA,,,,0.0
STEWART INTL AIRPORT,NY,DEPARTURE,,,0.0
JOHN WAYNE-ORANGE COUNTY ARPT,CA,PARKED,0,0,0.0
WILL ROGERS WORLD ARPT,OK,ARRIVAL,,,0.0
CHICAGO/ROCKFORD INTL ARPT,IL,DEPARTURE,10300,245,35.0
CHICAGO/ROCKFORD INTL ARPT,IL,PARKED,0,0,0.0
ORLANDO SANFORD INTL ARPT,FL,,,,0.0
SNOHOMISH CO (PAINE FIELD),WA,LOCAL,,,0.0
WASHINGTON COUNTY,PA,,0,120,0.0
CIAMPINO (ROME),,,0,120,0.0
HANCOCK COUNTY-BAR HARBOR,ME,LOCAL,,,0.0
ASPEN-PITKIN COUNTY ARPT/SARDY FIELD,CO,DEPARTURE,,,0.0
DEKALB-PEACHTREE ARPT,GA,DEPARTURE,,,0.0
THE FLORIDA KEYS MARATHON,FL,LOCAL,0,130,0.0
WILMINGTON INTL,NC,,100,140,0.0
HECTOR INTERNATIONAL,ND,,,,0.0
JAMES M COX DAYTON INTL,OH,,,,0.0
DES MOINES INTL,IA,LOCAL,,,0.0
EVANSVILLE REGIONAL,IN,,0,,0.0
ERIE INTL ARPT-TOM RIDGE FIELD,PA,LOCAL,50,80,0.0
BISMARCK MUNICIPAL ARPT,ND,ARRIVAL,,,0.0
ELMIRA/CORNING REGIONAL ARPT,NY,DEPARTURE,,,0.0
JACKSON EVERS INTL,MS,DEPARTURE,,,0.0
BOB HOPE ARPT,CA,PARKED,0,0,0.0
QUAD CITY ARPT,IL,ARRIVAL,,,0.0
FORT WAYNE INTL,IN,ARRIVAL,,,0.0
EVANSVILLE REGIONAL,IN,DEPARTURE,,,0.0
