Flight_Phase,Height
APPROACH,2400
APPROACH,704
APPROACH,923
APPROACH,18
CLIMB,2600
CLIMB,2300
APPROACH,1900
APPROACH,1100
CLIMB,2800
APPROACH,620
APPROACH,0
APPROACH,4200
CLIMB,2
CLIMB,35
APPROACH,2
APPROACH,1100
APPROACH,750
CLIMB,2800
APPROACH,70
APPROACH,0
APPROACH,2200
APPROACH,308
APPROACH,660
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,3300
APPROACH,0
APPROACH,70
APPROACH,0
APPROACH,2900
APPROACH,0
APPROACH,350
APPROACH,0
CLIMB,1600
DESCENT,9000
CLIMB,5500
CLIMB,5100
APPROACH,7500
APPROACH,1600
APPROACH,2600
APPROACH,1640
APPROACH,55
CLIMB,3
APPROACH,55
CLIMB,35
CLIMB,60
APPROACH,4
CLIMB,1900
CLIMB,90
CLIMB,1900
APPROACH,3
DESCENT,4400
APPROACH,35
CLIMB,37
CLIMB,26
APPROACH,45
CLIMB,8500
APPROACH,2800
APPROACH,10000
CLIMB,1400
APPROACH,950
CLIMB,450
CLIMB,40
APPROACH,1400
APPROACH,1600
CLIMB,1100
APPROACH,2600
CLIMB,585
APPROACH,350
CLIMB,120
APPROACH,3
APPROACH,35
CLIMB,40
APPROACH,950
APPROACH,470
APPROACH,1600
APPROACH,750
CLIMB,2870
APPROACH,40
APPROACH,40
CLIMB,80
APPROACH,350
APPROACH,1900
APPROACH,1400
APPROACH,350
APPROACH,1050
CLIMB,80
APPROACH,0
APPROACH,0
APPROACH,538
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
CLIMB,2300
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,169
CLIMB,1600
CLIMB,1600
APPROACH,2300
APPROACH,750
APPROACH,650
CLIMB,130
APPROACH,6
APPROACH,1600
APPROACH,270
APPROACH,0
APPROACH,1550
APPROACH,0
APPROACH,2600
APPROACH,0
DESCENT,10000
CLIMB,270
APPROACH,1100
CLIMB,8500
CLIMB,7800
DESCENT,4400
APPROACH,40
APPROACH,2400
APPROACH,1600
CLIMB,8500
APPROACH,4200
DESCENT,10000
APPROACH,450
APPROACH,3200
CLIMB,2800
APPROACH,2600
CLIMB,5400
APPROACH,60
APPROACH,10000
APPROACH,3300
DESCENT,3600
APPROACH,2300
DESCENT,13000
DESCENT,3400
APPROACH,2800
DESCENT,2800
APPROACH,2800
APPROACH,1100
APPROACH,2600
APPROACH,2300
CLIMB,7100
APPROACH,4200
APPROACH,3300
APPROACH,4050
APPROACH,1600
APPROACH,1600
CLIMB,7900
APPROACH,5300
APPROACH,1400
APPROACH,3600
APPROACH,1825
APPROACH,2950
APPROACH,1900
APPROACH,2200
CLIMB,8200
APPROACH,1650
APPROACH,3200
DESCENT,4300
APPROACH,4900
CLIMB,470
APPROACH,470
APPROACH,1185
APPROACH,130
APPROACH,4200
APPROACH,2100
CLIMB,14600
APPROACH,3300
APPROACH,2300
CLIMB,2100
APPROACH,510
APPROACH,1600
APPROACH,2600
APPROACH,1400
CLIMB,8700
APPROACH,2600
APPROACH,120
CLIMB,3900
CLIMB,320
APPROACH,370
DESCENT,10000
CLIMB,340
APPROACH,130
APPROACH,1600
DESCENT,11300
APPROACH,4700
APPROACH,1100
CLIMB,1600
APPROACH,1900
CLIMB,4300
CLIMB,9500
APPROACH,4100
APPROACH,6800
CLIMB,6500
APPROACH,2400
APPROACH,2200
APPROACH,3200
APPROACH,3100
APPROACH,5900
APPROACH,40
CLIMB,9300
CLIMB,10100
CLIMB,4100
APPROACH,2800
DESCENT,12000
CLIMB,4100
CLIMB,6700
DESCENT,12000
APPROACH,3300
APPROACH,5300
APPROACH,3300
APPROACH,2100
APPROACH,1
CLIMB,3100
CLIMB,14000
APPROACH,5600
CLIMB,1900
CLIMB,11000
CLIMB,12
DESCENT,11000
CLIMB,12400
DESCENT,5500
APPROACH,48
CLIMB,350
APPROACH,550
CLIMB,9500
APPROACH,2600
CLIMB,4100
APPROACH,3300
APPROACH,1850
CLIMB,2100
APPROACH,2800
APPROACH,3400
APPROACH,60
APPROACH,2600
CLIMB,3100
CLIMB,5700
APPROACH,3300
CLIMB,5500
DESCENT,4200
DESCENT,10000
APPROACH,2100
APPROACH,1600
DESCENT,5600
CLIMB,3800
APPROACH,2250
APPROACH,3600
APPROACH,90
APPROACH,21
CLIMB,4800
CLIMB,4200
DESCENT,8200
CLIMB,4100
CLIMB,2800
APPROACH,2
APPROACH,80
APPROACH,7250
DESCENT,8500
APPROACH,1100
DESCENT,13000
APPROACH,3300
CLIMB,1400
DESCENT,9000
CLIMB,4600
APPROACH,3300
APPROACH,1400
APPROACH,125
CLIMB,35
DESCENT,12800
APPROACH,40
APPROACH,5500
APPROACH,1600
CLIMB,10000
APPROACH,35
CLIMB,8500
APPROACH,1
APPROACH,70
APPROACH,5900
DESCENT,14000
APPROACH,2200
APPROACH,55
APPROACH,2100
