Record_ID,Incident_Year,Incident_Month,Incident_Day,Operator_ID,Operator,Aircraft,Aircraft_Type,Aircraft_Make,Aircraft_Model,Aircraft_Mass,Engine_Make,Engine_Model,Engines,Engine_Type,Engine1_Position,Engine2_Position,Engine3_Position,Engine4_Position,Airport_ID,Airport,State,FAA_Region,Warning_Issued,Flight_Phase,Visibility,Precipitation,Height,Speed,Distance,Species_ID,Species_Name,Species_Quantity,Flight_Impact,Fatalities,Injuries,Aircraft_Damage,Radome_Strike,Radome_Damage,Windshield_Strike,Windshield_Damage,Nose_Strike,Nose_Damage,Engine1_Strike,Engine1_Damage,Engine2_Strike,Engine2_Damage,Engine3_Strike,Engine3_Damage,Engine4_Strike,Engine4_Damage,Engine_Ingested,Propeller_Strike,Propeller_Damage,Wing_or_Rotor_Strike,Wing_or_Rotor_Damage,Fuselage_Strike,Fuselage_Damage,Landing_Gear_Strike,Landing_Gear_Damage,Tail_Strike,Tail_Damage,Lights_Strike,Lights_Damage,Other_Strike,Other_Damage
118260,1990,12,2,BUS,BUSINESS,DHC6,A,303,6,2,31,4,2,C,4,4,,,ZZZZ,UNKNOWN,,,false,EN ROUTE,DAY,NONE,2500,135,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103978,1990,10,14,PVT,PRIVATELY OWNED,C-152,A,226,36,1,7,7,1,A,7,,,,ZZZZ,UNKNOWN,,,false,EN ROUTE,DAY,NONE,900,85,,NE101,HERRING GULL,1,PRECAUTIONARY LANDING,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124681,1990,5,18,BUS,BUSINESS,PA-32,A,729,26,1,7,31,1,A,7,,,,ZZZZ,UNKNOWN,,,,EN ROUTE,,,,,,J21,DUCK,1,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101093,1990,7,3,PVT,PRIVATELY OWNED,MOONEY UNKN,A,632,,1,7,19,1,A/C,7,,,,ZZZZ,UNKNOWN,,,true,EN ROUTE,DAY,,9000,140,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126915,1990,2,27,BUS,BUSINESS,GULFSTREAM V,A,421,10,4,9,3,2,D,5,5,,,ZZZZ,UNKNOWN,,,,EN ROUTE,,,,,,J22,GEESE,1,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101358,1991,11,15,PVT,PRIVATELY OWNED,C-150,A,226,5,1,13,1,1,A,7,,,,KPVG,HAMPTON ROADS EXECUTIVE,VA,AEA,,CLIMB,NIGHT,NONE,3,,,1G11,WHITE-TAILED DEER,1,PRECAUTIONARY LANDING,,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
102720,1991,10,18,BUS,BUSINESS,C-172,A,226,7,1,7,10,1,A,7,,,,KLNK,LINCOLN ARPT,NE,ACE,,APPROACH,NIGHT,NONE,500,90,,J2204,CANADA GOOSE,2-10,PRECAUTIONARY LANDING,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102523,1991,6,3,PVT,PRIVATELY OWNED,PA-28,A,729,23,1,7,19,1,A,7,,,,KRAP,RAPID CITY REGIONAL,SD,AGL,false,DESCENT,DAY,NONE,2500,120,7.0,J2204,CANADA GOOSE,1,NONE,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103977,1991,4,18,MDW,MIDWAY AIRLINES,DORNIER 228,A,316,7,3,19,4,2,C,1,1,,,KCMI,UNIV OF ILLINOIS -WILLARD ARPT,IL,AGL,,APPROACH,NIGHT,,,,7.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115611,1991,9,2,PVT,PRIVATELY OWNED,STINSON 108,A,894,6,1,,,1,A,7,,,,KSBS,STEAMBOAT SPRINGS ARPT/BOB ADAMS FIELD,CO,ANM,,CLIMB,DAY,NONE,5,,0.0,1G12,MULE DEER,,OTHER,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
