Flight_Phase,Height
LANDING,50
LANDING,10
LANDING,50
TAXI,0
TAXI,0
TAXI,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,10
LANDING,0
LANDING,200
LANDING,400
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,500
LANDING,0
LANDING,100
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,800
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,100
LANDING,0
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,20
LANDING,10
LANDING,100
LANDING,100
LANDING,1000
LANDING,50
LANDING,1500
LANDING,0
LANDING,100
LANDING,0
LANDING,50
LOCAL,700
LANDING,1300
LANDING,1200
LANDING,0
LOCAL,0
LANDING,1500
LANDING,2000
LANDING,350
LANDING,0
LANDING,0
LANDING,1600
LANDING,15
LANDING,750
LANDING,300
LANDING,500
LANDING,50
LANDING,25
LOCAL,0
LANDING,600
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,600
LANDING,0
LANDING,50
LANDING,0
LANDING,150
LANDING,0
LANDING,5
LANDING,0
LANDING,1500
LANDING,0
LANDING,0
LANDING,100
LANDING,0
LANDING,0
LOCAL,150
LANDING,0
LANDING,2000
LANDING,0
LANDING,0
LANDING,0
LANDING,1000
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,50
TAXI,0
TAXI,0
PARKED,0
LOCAL,200
LANDING,50
LANDING,50
LANDING,100
LANDING,75
LANDING,0
LANDING,0
LANDING,150
LOCAL,250
LANDING,0
LANDING,150
LANDING,0
LANDING,20
LANDING,0
LANDING,25
LANDING,0
LANDING,50
LANDING,20
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,5
LANDING,0
LANDING,50
LANDING,0
LANDING,200
LANDING,0
LANDING,0
LANDING,0
LANDING,100
LANDING,0
LANDING,0
LANDING,10
LANDING,0
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,0
LANDING,700
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
PARKED,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
DEPARTURE,10000
TAXI,0
LOCAL,12
TAXI,0
TAXI,0
TAXI,0
TAXI,0
LANDING,10
LANDING,500
LANDING,2
LANDING,500
LANDING,50
LANDING,0
LANDING,10
LANDING,10
LANDING,0
LANDING,30
LANDING,0
LANDING,0
LOCAL,400
LOCAL,400
LANDING,400
LOCAL,0
LANDING,10
LANDING,50
LANDING,15
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,10
LANDING,100
LANDING,5
LANDING,10
LANDING,50
LANDING,0
LANDING,30
LANDING,10
LANDING,30
LANDING,300
LANDING,0
LANDING,2
LANDING,500
LOCAL,1700
LANDING,0
LANDING,300
LANDING,0
LANDING,0
LANDING,15
LANDING,20
LANDING,10
LANDING,0
LANDING,0
LANDING,50
LANDING,5
LANDING,1000
LANDING,20
LANDING,0
LANDING,200
LANDING,10
LANDING,15
LANDING,350
LANDING,10
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,1500
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,3000
LANDING,5000
LANDING,10
LANDING,500
LANDING,1500
LANDING,0
LANDING,1700
LANDING,10
LANDING,0
PARKED,0
LANDING,300
LANDING,0
LANDING,0
LANDING,10
LANDING,500
LANDING,50
LANDING,10
LANDING,0
LANDING,100
LANDING,25
LOCAL,0
LANDING,0
LANDING,0
LANDING,40
LANDING,100
LANDING,0
LANDING,10
LANDING,50
LANDING,20
LANDING,10
LANDING,0
LANDING,0
LANDING,30
LANDING,30
LANDING,30
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,0
LANDING,50
LANDING,50
LANDING,10
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,10
LANDING,0
LANDING,500
LANDING,1300
LANDING,0
LANDING,0
LANDING,100
LANDING,200
LANDING,50
LANDING,0
LANDING,0
LANDING,50
LANDING,0
LANDING,20
LANDING,0
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,50
LANDING,10
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,0
LANDING,20
LANDING,0
LANDING,20
LANDING,10
LANDING,0
LANDING,0
LANDING,0
LANDING,50
LANDING,10
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,100
LANDING,100
LANDING,50
LANDING,50
LANDING,50
LANDING,0
LANDING,10
LANDING,200
LANDING,0
LANDING,50
LANDING,0
LANDING,0
LANDING,0
LANDING,0
LANDING,0
TAXI,0
PARKED,0
TAXI,0
LOCAL,1000
TAXI,0
PARKED,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
PARKED,0
TAXI,0
LOCAL,850
LOCAL,600
TAXI,0
PARKED,0
LOCAL,30
TAXI,0
TAXI,0
TAXI,0
TAXI,0
TAXI,0
PARKED,0
TAXI,0
LOCAL,15
TAXI,0
TAXI,0
TAXI,0
TAXI,0
