Species_Name,Count,Radome_Damage,Windshield_Damage,Nose_Damage,Engine1_Damage,Engine2_Damage,Engine3_Damage,Engine4_Damage,Propeller_Damage,Wing_or_Rotor_Damage,Fuselage_Damage,Landing_Gear_Damage,Tail_Damage,Lights_Damage,Other_Damage
UNKNOWN MEDIUM BIRD,37003,480,192,207,799,695,66,29,43,921,135,97,202,170,291
UNKNOWN SMALL BIRD,31412,93,57,68,144,106,10,2,11,207,35,26,21,76,97
UNKNOWN BIRD,6058,33,23,18,45,46,4,3,3,136,14,8,24,20,44
GULL,5744,111,36,64,199,177,9,7,28,282,34,33,30,47,99
MOURNING DOVE,3152,18,3,9,54,52,2,1,6,30,3,8,1,18,15
UNKNOWN LARGE BIRD,2691,188,69,108,111,93,12,1,16,356,67,16,62,27,70
SPARROW,2432,4,4,7,10,6,0,0,1,7,1,0,0,4,10
EUROPEAN STARLING,2417,9,5,11,34,43,3,2,4,19,5,6,3,16,15
BARN SWALLOW,2307,1,1,0,4,2,0,0,0,4,1,3,1,1,3
ROCK PIGEON,1730,34,10,10,76,45,6,2,9,66,9,17,2,13,18
HORNED LARK,1658,1,0,0,3,3,0,0,0,8,1,0,0,4,3
KILLDEER,1601,7,2,1,12,9,1,0,0,10,0,5,1,3,5
CANADA GOOSE,1412,79,52,99,115,87,9,4,43,336,66,86,52,46,89
AMERICAN KESTREL,1373,0,0,4,10,7,0,0,0,4,0,0,0,0,3
RED-TAILED HAWK,1227,29,8,10,66,51,2,2,6,80,8,23,6,16,23
BLACKBIRD,1188,9,2,7,17,12,0,1,2,20,2,1,2,8,5
HAWK,1136,20,12,16,35,22,3,1,6,99,8,8,8,9,18
WHITE-TAILED DEER,988,10,11,74,105,36,0,0,229,261,118,359,65,35,225
SWALLOW,849,2,0,0,0,2,0,0,0,0,1,1,0,1,1
PERCHING BIRDS,838,7,0,0,4,3,0,0,0,7,0,1,1,2,2
CLIFF SWALLOW,834,1,1,0,2,0,0,0,0,2,0,0,0,0,0
RING-BILLED GULL,750,16,2,8,29,32,3,2,4,22,2,8,5,12,13
DUCK,716,27,23,25,34,26,1,1,6,73,17,15,12,13,25
DOVE,688,6,0,2,15,8,0,0,1,10,3,1,1,4,2
AMERICAN ROBIN,662,15,2,6,8,8,0,0,0,14,2,1,2,1,8
EASTERN MEADOWLARK,662,2,1,0,4,2,0,1,0,0,0,2,0,1,2
TURKEY VULTURE,542,32,27,24,39,17,0,0,7,133,14,9,14,10,26
MALLARD,519,23,8,17,29,30,1,2,1,69,14,7,6,10,17
HERRING GULL,518,10,5,5,29,28,8,1,2,19,1,10,0,6,7
CHIMNEY SWIFT,451,1,1,1,0,1,0,0,0,1,0,0,0,2,1
TREE SWALLOW,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN MEADOWLARK,412,1,0,0,5,6,0,0,0,1,0,0,0,0,0
BARN OWL,392,5,1,2,17,9,0,0,0,4,0,1,0,1,2
GEESE,363,29,26,19,12,19,2,1,4,103,17,11,21,11,17
COYOTE,356,1,0,3,4,2,0,0,6,3,2,31,0,4,5
PACIFIC GOLDEN-PLOVER,346,2,0,0,1,3,0,0,0,1,1,0,0,1,1
AMERICAN CROW,297,3,2,3,5,9,0,0,0,10,2,1,0,1,1
NEW WORLD VULTURES,285,11,14,16,9,13,0,0,3,83,10,4,15,5,16
EGRET,269,3,1,4,6,5,0,0,1,3,2,0,1,2,3
OWLS,266,4,2,3,6,2,1,0,2,7,1,2,0,2,3
BANK SWALLOW,247,0,0,0,1,0,0,0,0,0,0,0,0,1,0
GREAT BLUE HERON,246,4,2,4,16,14,1,0,2,19,1,4,3,5,6
SAVANNAH SPARROW,234,1,0,0,0,0,0,0,0,1,1,0,0,1,1
CATTLE EGRET,227,4,1,0,12,8,0,1,0,3,0,1,1,2,5
PEREGRINE FALCON,213,1,0,1,4,6,1,0,1,6,0,3,0,0,4
