Flight_Phase,Height
APPROACH,2400
APPROACH,704
APPROACH,923
APPROACH,18
APPROACH,1900
APPROACH,1100
APPROACH,620
APPROACH,0
APPROACH,4200
APPROACH,2
APPROACH,1100
APPROACH,750
APPROACH,70
APPROACH,0
APPROACH,308
APPROACH,660
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,3300
APPROACH,0
APPROACH,70
APPROACH,0
APPROACH,2900
APPROACH,0
APPROACH,350
APPROACH,0
APPROACH,7000
APPROACH,7500
APPROACH,2600
APPROACH,1640
APPROACH,55
APPROACH,55
APPROACH,4
APPROACH,3
APPROACH,35
APPROACH,4500
APPROACH,45
APPROACH,2800
APPROACH,10000
APPROACH,950
APPROACH,2600
APPROACH,350
APPROACH,3
APPROACH,35
APPROACH,950
APPROACH,470
APPROACH,750
APPROACH,350
APPROACH,1900
APPROACH,350
APPROACH,1050
APPROACH,0
APPROACH,0
APPROACH,538
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,0
APPROACH,169
APPROACH,2300
APPROACH,750
APPROACH,650
APPROACH,6
APPROACH,270
APPROACH,0
APPROACH,1550
APPROACH,0
APPROACH,2600
APPROACH,0
APPROACH,7000
APPROACH,1100
APPROACH,2400
APPROACH,4200
APPROACH,450
APPROACH,3200
APPROACH,2600
APPROACH,60
APPROACH,10000
APPROACH,3300
APPROACH,2300
APPROACH,2800
APPROACH,2800
APPROACH,1100
APPROACH,2600
APPROACH,2300
APPROACH,4200
APPROACH,3300
APPROACH,4050
APPROACH,5300
APPROACH,3600
APPROACH,1825
APPROACH,2950
APPROACH,1900
APPROACH,1650
APPROACH,3200
APPROACH,4900
APPROACH,470
APPROACH,1185
APPROACH,130
APPROACH,4200
APPROACH,2100
APPROACH,3300
APPROACH,2300
APPROACH,510
APPROACH,2600
APPROACH,2600
APPROACH,120
APPROACH,370
APPROACH,130
APPROACH,4700
APPROACH,1100
APPROACH,1900
APPROACH,4100
APPROACH,6800
APPROACH,2400
APPROACH,7000
APPROACH,3200
APPROACH,3100
APPROACH,5900
APPROACH,2800
APPROACH,3300
APPROACH,5300
APPROACH,3300
APPROACH,2100
APPROACH,1
APPROACH,5600
APPROACH,48
APPROACH,550
APPROACH,2600
APPROACH,3300
APPROACH,1850
APPROACH,2800
APPROACH,3400
APPROACH,60
APPROACH,2600
APPROACH,3300
APPROACH,2100
APPROACH,2250
APPROACH,3600
APPROACH,90
APPROACH,21
APPROACH,2
APPROACH,80
APPROACH,7250
APPROACH,8000
APPROACH,1100
APPROACH,3300
APPROACH,4500
APPROACH,3300
APPROACH,125
APPROACH,8000
APPROACH,8000
APPROACH,5500
APPROACH,35
APPROACH,1
APPROACH,70
APPROACH,5900
APPROACH,55
APPROACH,2100
APPROACH,7000
APPROACH,6800
APPROACH,7000
APPROACH,3600
APPROACH,2400
APPROACH,350
APPROACH,2400
APPROACH,125
APPROACH,8000
APPROACH,8000
APPROACH,8000
APPROACH,2900
APPROACH,1100
APPROACH,4500
APPROACH,7500
APPROACH,4800
APPROACH,120
APPROACH,6500
APPROACH,90
APPROACH,5400
APPROACH,2600
APPROACH,2100
APPROACH,2
APPROACH,1100
APPROACH,350
APPROACH,8000
APPROACH,4500
APPROACH,3
APPROACH,4500
APPROACH,560
APPROACH,5500
APPROACH,2600
APPROACH,7500
APPROACH,450
APPROACH,70
APPROACH,70
APPROACH,1100
APPROACH,7000
APPROACH,2400
APPROACH,8000
APPROACH,1100
APPROACH,7
APPROACH,9000
APPROACH,120
APPROACH,1100
APPROACH,60
APPROACH,7500
APPROACH,1750
APPROACH,388
APPROACH,2800
APPROACH,350
APPROACH,2300
APPROACH,2
APPROACH,110
APPROACH,1
APPROACH,1900
APPROACH,2800
APPROACH,35
APPROACH,60
APPROACH,3300
APPROACH,360
APPROACH,2900
APPROACH,4900
APPROACH,3900
APPROACH,1705
APPROACH,750
APPROACH,350
APPROACH,2300
APPROACH,8000
APPROACH,3300
APPROACH,2100
APPROACH,8100
APPROACH,11
APPROACH,79
APPROACH,7000
APPROACH,90
APPROACH,90
APPROACH,5500
APPROACH,90
APPROACH,2100
APPROACH,9500
APPROACH,2600
APPROACH,5500
APPROACH,7000
APPROACH,815
APPROACH,750
APPROACH,3
APPROACH,2600
APPROACH,45
APPROACH,3900
APPROACH,2241
APPROACH,90
APPROACH,460
APPROACH,940
APPROACH,930
APPROACH,4
APPROACH,2
APPROACH,1100
APPROACH,1250
APPROACH,750
APPROACH,1900
APPROACH,650
APPROACH,1100
APPROACH,101
APPROACH,1100
APPROACH,1100
APPROACH,2400
APPROACH,7000
APPROACH,1
APPROACH,2300
APPROACH,0
APPROACH,64
APPROACH,999
APPROACH,450
APPROACH,85
APPROACH,60
APPROACH,0
APPROACH,4
APPROACH,12
APPROACH,960
APPROACH,545
APPROACH,520
APPROACH,3
APPROACH,1035
APPROACH,860
