Incident_Month,Species_Name,Count
5,GULL,528
11,GULL,547
7,GULL,427
9,GULL,570
2,GULL,321
10,GULL,608
1,GULL,305
3,GULL,535
12,GULL,352
6,GULL,420
8,GULL,524
4,GULL,607
4,MOURNING DOVE,110
11,MOURNING DOVE,232
9,MOURNING DOVE,464
2,MOURNING DOVE,45
6,MOURNING DOVE,286
8,MOURNING DOVE,722
1,MOURNING DOVE,66
5,MOURNING DOVE,172
7,MOURNING DOVE,567
12,MOURNING DOVE,124
10,MOURNING DOVE,289
3,MOURNING DOVE,75
12,SPARROW,86
2,SPARROW,68
7,SPARROW,443
1,SPARROW,62
5,SPARROW,207
11,SPARROW,121
8,SPARROW,463
10,SPARROW,207
6,SPARROW,271
4,SPARROW,125
9,SPARROW,311
3,SPARROW,68
1,EUROPEAN STARLING,76
6,EUROPEAN STARLING,333
9,EUROPEAN STARLING,295
5,EUROPEAN STARLING,228
12,EUROPEAN STARLING,68
4,EUROPEAN STARLING,79
2,EUROPEAN STARLING,60
3,EUROPEAN STARLING,58
8,EUROPEAN STARLING,521
7,EUROPEAN STARLING,449
10,EUROPEAN STARLING,159
11,EUROPEAN STARLING,91
1,BARN SWALLOW,1
7,BARN SWALLOW,668
4,BARN SWALLOW,54
10,BARN SWALLOW,79
9,BARN SWALLOW,349
3,BARN SWALLOW,13
6,BARN SWALLOW,155
12,BARN SWALLOW,4
5,BARN SWALLOW,178
2,BARN SWALLOW,4
8,BARN SWALLOW,788
11,BARN SWALLOW,14
